FID,id,name,name_category,category,wkb_geometry,long,lat
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e6,14,Frankrigsgade Svømmehal,17237,Svømmehal/Bad,MULTIPOINT ((12.609794635865047 55.66289894297421)),12.60979464,55.66289894
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e5,15,Amager Strandpark,17237,Svømmehal/Bad,MULTIPOINT ((12.64922257742978 55.65454851341293)),12.64922258,55.65454851
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e4,16,Hillerødgade Bad og Hal,17237,Svømmehal/Bad,MULTIPOINT ((12.539571087023372 55.696709806374244)),12.53957109,55.69670981
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e3,1,Vanløse,19130,Station/Metro,POINT (12.491907379014119 55.68728788320024),12.49190738,55.68728788
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e2,2,Femøren,19130,Station/Metro,POINT (12.638255680353023 55.64528535047976),12.63825568,55.64528535
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e1,3,Amager Strand,19130,Station/Metro,POINT (12.631889900698601 55.65606516201953),12.6318899,55.65606516
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7e0,4,Øresund,19130,Station/Metro,POINT (12.628732675353522 55.66144562370018),12.62873268,55.66144562
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7df,5,Lergravsparken,19130,Station/Metro,POINT (12.617021454946313 55.66226966399527),12.61702145,55.66226966
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7de,6,Amagerbro,19130,Station/Metro,POINT (12.602894848018204 55.66338463587162),12.60289485,55.66338464
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7dd,7,Christianshavn,19130,Station/Metro,POINT (12.591313426197745 55.67214199228414),12.59131343,55.67214199
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7dc,8,Kongens Nytorv,19130,Station/Metro,POINT (12.58517767546056 55.67926647231415),12.58517768,55.67926647
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7db,9,Nørreport,19130,Station/Metro,POINT (12.571519041955515 55.68370839910746),12.57151904,55.6837084
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7da,10,Islands Brygge,19130,Station/Metro,POINT (12.585310049359089 55.66354758335726),12.58531005,55.66354758
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d9,11,DR Byen (Universitetet),19130,Station/Metro,POINT (12.588993504037028 55.6557657280437),12.5889935,55.65576573
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d8,12,Sundby,19130,Station/Metro,POINT (12.585743984257011 55.64520259271433),12.58574398,55.64520259
