FID,wkb_geometry,long,lat,vejkode,vejnavn,name,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,reg_metode
cykelstativ.1098,POINT (12.576687441938557 55.7159459943859),12.57668744,55.71594599,720,Borgervænget,Borgervænget cykelstativ.1098,Østerbro,Model 32,På plads,Dobbeltsidet,Vinkelret,42,Ikke registreret,Indmålt med GPS
cykelstativ.1099,POINT (12.576772906014552 55.71592028112486),12.57677291,55.71592028,720,Borgervænget,Borgervænget cykelstativ.1099,Østerbro,Model 32,På plads,Dobbeltsidet,Vinkelret,36,Ikke registreret,Indmålt med GPS
cykelstativ.1100,POINT (12.576865820599648 55.715905226694225),12.57686582,55.71590523,720,Borgervænget,Borgervænget cykelstativ.1100,Østerbro,Smedemodel,På plads,Enkeltsidet,Vinkelret,24,Ikke registreret,Indmålt med GPS
cykelstativ.1101,POINT (12.57632079280614 55.71587206292551),12.57632079,55.71587206,720,Borgervænget,Borgervænget cykelstativ.1101,Østerbro,Andet,På facade,Enkeltsidet,Vinkelret,3,Ikke registreret,Indmålt med GPS
cykelstativ.1102,POINT (12.575615835908579 55.71584937122312),12.57561584,55.71584937,3020,Hornemansgade,Hornemansgade cykelstativ.1102,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,Indmålt med GPS
cykelstativ.1103,POINT (12.576497443909613 55.71581292576031),12.57649744,55.71581293,720,Borgervænget,Borgervænget cykelstativ.1103,Østerbro,Andet,På facade,Enkeltsidet,Vinkelret,3,Ikke registreret,Indmålt med GPS
cykelstativ.1104,POINT (12.575386784447577 55.71582894068667),12.57538678,55.71582894,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1104,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,3,Ikke registreret,Indmålt med GPS
cykelstativ.1105,POINT (12.575328527736433 55.7158240581686),12.57532853,55.71582406,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1105,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,4,Ikke registreret,Indmålt med GPS
cykelstativ.1106,POINT (12.575138623131128 55.7158065958296),12.57513862,55.7158066,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1106,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,4,Ikke registreret,Indmålt med GPS
cykelstativ.1107,POINT (12.575046702391917 55.71579837158816),12.5750467,55.71579837,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1107,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,3,Ikke registreret,Indmålt med GPS
cykelstativ.1108,POINT (12.576693971930787 55.715744910683235),12.57669397,55.71574491,720,Borgervænget,Borgervænget cykelstativ.1108,Østerbro,Andet,På facade,Enkeltsidet,Vinkelret,2,Ikke registreret,Indmålt med GPS
cykelstativ.1109,POINT (12.574799574942006 55.71577656700979),12.57479957,55.71577657,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1109,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Indmålt med GPS
cykelstativ.1110,POINT (12.574549065748025 55.71575390865774),12.57454907,55.71575391,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1110,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,7,Ikke registreret,Indmålt med GPS
cykelstativ.1111,POINT (12.57429070583858 55.71573069001676),12.57429071,55.71573069,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1111,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,7,Ikke registreret,Indmålt med GPS
cykelstativ.1112,POINT (12.574033119661488 55.71570826511844),12.57403312,55.71570827,1436,Edvard Griegs Gade,Edvard Griegs Gade cykelstativ.1112,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,7,Ikke registreret,Indmålt med GPS
cykelstativ.1113,POINT (12.577167729593027 55.715646113064125),12.57716773,55.71564611,8580,Østerbrogade,Østerbrogade cykelstativ.1113,Østerbro,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Indmålt med GPS
cykelstativ.1114,POINT (12.541271383472965 55.71990238814297),12.54127138,55.71990239,7684,Tuborgvej,Tuborgvej cykelstativ.1114,Bispebjerg,NO,På facade,Enkeltsidet,Vinkelret,14,Ikke registreret,Indmålt med GPS
cykelstativ.1115,POINT (12.542469227940662 55.72246764443962),12.54246923,55.72246764,1544,Emdrupvej,Emdrupvej cykelstativ.1115,Bispebjerg,NO,Tæt på facade,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.1116,POINT (12.54285977602294 55.722412315905245),12.54285978,55.72241232,1544,Emdrupvej,Emdrupvej cykelstativ.1116,Bispebjerg,NO,Tæt på facade,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.1117,POINT (12.54923242276985 55.70356233784098),12.54923242,55.70356234,6372,Sigurdsgade,Sigurdsgade cykelstativ.1117,Nørrebro,NO,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Indmålt med GPS
cykelstativ.1118,POINT (12.549217361669125 55.703491884840005),12.54921736,55.70349188,6372,Sigurdsgade,Sigurdsgade cykelstativ.1118,Nørrebro,NO,På plads,Dobbeltsidet,Vinkelret,26,Ikke registreret,Indmålt med GPS
cykelstativ.1119,POINT (12.549148092611984 55.70353687804415),12.54914809,55.70353688,6372,Sigurdsgade,Sigurdsgade cykelstativ.1119,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,3,Ikke registreret,Indmålt med GPS
cykelstativ.1120,POINT (12.55007605118385 55.702234883240216),12.55007605,55.70223488,7336,Tagensvej,Tagensvej cykelstativ.1120,Nørrebro,Model 32,På fortovsudvidelse,Dobbeltsidet,Vinkelret,30,Ikke registreret,Ikke registreret
cykelstativ.1121,POINT (12.553279576699053 55.70005332815734),12.55327958,55.70005333,7336,Tagensvej,Tagensvej cykelstativ.1121,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Indmålt med GPS
cykelstativ.1122,POINT (12.552923893264039 55.69991406300169),12.55292389,55.69991406,7336,Tagensvej,Tagensvej cykelstativ.1122,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,12,Ikke registreret,Ikke registreret
cykelstativ.1123,POINT (12.552795780526363 55.700014508137066),12.55279578,55.70001451,7336,Tagensvej,Tagensvej cykelstativ.1123,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,12,Ikke registreret,Ikke registreret
cykelstativ.1124,POINT (12.552731514049189 55.70006095875952),12.55273151,55.70006096,7336,Tagensvej,Tagensvej cykelstativ.1124,Nørrebro,Andet,Tæt på facade,Enkeltsidet,Vinkelret,12,Ikke registreret,Ikke registreret
cykelstativ.844,POINT (12.551425700607915 55.70007299663479),12.5514257,55.700073,6160,Rådmandsgade,Rådmandsgade cykelstativ.844,Nørrebro,NO,På facade,Enkeltsidet,Vinkelret,8,Ikke registreret,Ikke registreret
cykelstativ.845,POINT (12.551298788489431 55.70000333404147),12.55129879,55.70000333,6160,Rådmandsgade,Rådmandsgade cykelstativ.845,Nørrebro,NO,På facade,Enkeltsidet,Vinkelret,12,Ikke registreret,Ikke registreret
cykelstativ.681,POINT (12.549979274649179 55.70147388410682),12.54997927,55.70147388,8520,Ægirsgade,Ægirsgade cykelstativ.681,Nørrebro,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.682,POINT (12.549824441464422 55.701384538028954),12.54982444,55.70138454,8520,Ægirsgade,Ægirsgade cykelstativ.682,Nørrebro,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.683,POINT (12.548675726041587 55.701569089229345),12.54867573,55.70156909,340,Balders Plads,Balders Plads cykelstativ.683,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Digitaliseret manuelt
cykelstativ.684,POINT (12.549387569591953 55.70124269182209),12.54938757,55.70124269,8520,Ægirsgade,Ægirsgade cykelstativ.684,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,6,Ikke registreret,Indmålt med GPS
cykelstativ.685,POINT (12.549077326493911 55.70134553619876),12.54907733,55.70134554,340,Balders Plads,Balders Plads cykelstativ.685,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,13,Ikke registreret,Digitaliseret manuelt
cykelstativ.686,POINT (12.548961860285278 55.70141392070151),12.54896186,55.70141392,340,Balders Plads,Balders Plads cykelstativ.686,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,5,Ikke registreret,Digitaliseret manuelt
cykelstativ.687,POINT (12.548837796310227 55.70148765380106),12.5488378,55.70148765,340,Balders Plads,Balders Plads cykelstativ.687,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,5,Ikke registreret,Digitaliseret manuelt
cykelstativ.688,POINT (12.549200983596123 55.70127393503227),12.54920098,55.70127394,8520,Ægirsgade,Ægirsgade cykelstativ.688,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,9,Ikke registreret,Digitaliseret manuelt
cykelstativ.689,POINT (12.548752952542515 55.70152920277958),12.54875295,55.7015292,340,Balders Plads,Balders Plads cykelstativ.689,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,5,Ikke registreret,Digitaliseret manuelt
cykelstativ.690,POINT (12.54970267199816 55.69943527941582),12.54970267,55.69943528,6160,Rådmandsgade,Rådmandsgade cykelstativ.690,Nørrebro,NO,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Ikke registreret
cykelstativ.691,POINT (12.549578581334776 55.69950219726033),12.54957858,55.6995022,4936,Nannasgade,Nannasgade cykelstativ.691,Nørrebro,NO,På facade,Enkeltsidet,Skråt 45 grader,12,Ikke registreret,Ikke registreret
cykelstativ.692,POINT (12.54832828596149 55.7013950918304),12.54832829,55.70139509,340,Balders Plads,Balders Plads cykelstativ.692,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,6,Ikke registreret,Indmålt med GPS
cykelstativ.693,POINT (12.548887914597355 55.701108635182756),12.54888791,55.70110864,8520,Ægirsgade,Ægirsgade cykelstativ.693,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,8,Ikke registreret,Digitaliseret manuelt
