institution_enhed,title,vejnavn,husnr,opsyn,drift_ansvarlig,FID,adresse,postnr,toilet_type,handicapadgang,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,opening_hours,aabningstid_bemrk,placering,longitude,latitude
Sundbyøsterhal 2,Parmagade toilet.119,Parmagade,4,Nej,,toilet.119,Parmagade 4,2300,H+D+handicap,Ja,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 22.00,7.00  - 21.00,7.00 - 21.00,Monday: 7.00 - 23.00 Tuesday: 7.00 - 23.00 Wednesday: 7.00 - 23.00 Thursday: 7.00 - 23.00 Friday: 7.00 - 22.00 Saturday: 7.00  - 21.00 Sunday: 7.00 - 21.00,"lukket juli, jul & nytår og helligdage",Kommunal institution,12.612768,55.652423
Sundbyøsterhallen,Parmagade toilet.120,Parmagade,8,Nej,,toilet.120,Parmagade 8,2300,H+D+handicap,Ja,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 22.00,7.00  - 21.00,7.00 - 21.00,Monday: 7.00 - 23.00 Tuesday: 7.00 - 23.00 Wednesday: 7.00 - 23.00 Thursday: 7.00 - 23.00 Friday: 7.00 - 22.00 Saturday: 7.00  - 21.00 Sunday: 7.00 - 21.00,"lukket juli, jul & nytår og helligdage",Kommunal institution,12.613258,55.652172
"DRIFT, SYD",Peder Lykkes Vej toilet.121,Peder Lykkes Vej,73,Nej,Udliciteret,toilet.121,"Remiseparken, Byggeren",2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.597272,55.652669
"DRIFT, SYD",Peder Lykkes Vej toilet.122,Peder Lykkes Vej,71,Nej,Udliciteret,toilet.122,"Remiseparken, Bondegården",2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.598081,55.652713
"DRIFT, SYD",Toftegårds Plads toilet.123,Toftegårds Plads,2,Nej,Egen drift,toilet.123,Toftegårds Plads ud for nr. 2,,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.517536,55.66184
"DRIFT, SYD",Toftegårds Plads toilet.124,Toftegårds Plads,6,Nej,Egen drift,toilet.124,Toftegårds Plads ud for nr. 6,,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.517405,55.662306
"DRIFT, INDRE",Torvegade toilet.125,Torvegade,48,Nej,Egen drift,toilet.125,"Christianshavns Torv, Torvegade 48",,H+D+handicap+pissoir,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.5918,55.67198
"DRIFT, INDRE",Trianglen toilet.126,Trianglen,29B,Ja,Egen drift,toilet.126,Trianglen,,Bemandet H+D+handicap,Ja,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,Monday: 9.00 - 18.30 Tuesday: 9.00 - 18.30 Wednesday: 9.00 - 18.30 Thursday: 9.00 - 18.30 Friday: 9.00 - 18.30 Saturday: 9.00 - 18.30 Sunday: 9.00 - 18.30,,Gade,12.577521,55.699301
"DRIFT, NORD",Utterslev Torv toilet.127,Utterslev Torv,9,Nej,Egen drift,toilet.127,Utterslev Torv Nr. 9,,Andre pissoirs,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.516928,55.710055
"DRIFT, SYD",Valby Langgade toilet.128,Valby Langgade,66,Nej,Egen drift,toilet.128,"Valby Tingsted, Valby Langgade of. nr 66",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.514116,55.666027
Valby Kulturhus,Valgårdsvej toilet.129,Valgårdsvej,8,Nej,,toilet.129,Valgårdsvej 4-8,,H+D+handicap,Ja,8:00 - 20:00,8:00 - 20:00,8:00 - 20:00,8:00 - 20:00,8:00 - 20:00,9:00 - 18:00,9:00 - 18:00,Monday: 8:00 - 20:00 Tuesday: 8:00 - 20:00 Wednesday: 8:00 - 20:00 Thursday: 8:00 - 20:00 Friday: 8:00 - 20:00 Saturday: 9:00 - 18:00 Sunday: 9:00 - 18:00,,Kommunal institution,12.518431,55.660966
Osramhuset,Valhalsgade toilet.130,Valhalsgade,4,Nej,,toilet.130,Valhalsgade 4,,H+D+handicap,Ja,9:00 - 15:00,9:00 - 15:00,9:00 - 15:00,9:00 - 15:00,9:00 - 15:00,,,Monday: 9:00 - 15:00 Tuesday: 9:00 - 15:00 Wednesday: 9:00 - 15:00 Thursday: 9:00 - 15:00 Friday: 9:00 - 15:00 Saturday:  Sunday: ,Helligdage lukket,Kommunal institution,12.549521,55.702968
"DRIFT, INDRE",Ved Stranden toilet.131,Ved Stranden,18A,Nej,Egen drift,toilet.131,"Ved Stranden, Ved Stranden of. 18 A",,H+D+handicap,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.580907,55.677576
Sundhedshus Vesterbro/Valby/Kgs. Enghave,Vesterbrogade toilet.132,Vesterbrogade,121,Nej,,toilet.132,Vesterbrogade 121,,H+D+handicap,Ja,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,,,Monday: 9.00 - 16.00 Tuesday: 9.00 - 16.00 Wednesday: 9.00 - 16.00 Thursday: 9.00 - 16.00 Friday: 9.00 - 16.00 Saturday:  Sunday: ,,Kommunal institution,12.54277,55.670692
"DRIFT, INDRE",Vesterbrogade toilet.133,Vesterbrogade,47B,Ja,Egen drift,toilet.133,Vesterbro Torv - Vesterbrogade 47 B,,H+D,Nej,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,Monday: 9.00 - 18.30 Tuesday: 9.00 - 18.30 Wednesday: 9.00 - 18.30 Thursday: 9.00 - 18.30 Friday: 9.00 - 18.30 Saturday: 9.00 - 18.30 Sunday: 9.00 - 18.30,,Gade,12.555008,55.672196
Københavns Museum,Vesterbrogade toilet.134,Vesterbrogade,59,Nej,,toilet.134,Vesterbrogade 59,1620,H+D+handicap,Ja,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,Monday: 10.00-17.00 Tuesday: 10.00-17.00 Wednesday: 10.00-17.00 Thursday: 10.00-17.00 Friday: 10.00-17.00 Saturday: 10.00-17.00 Sunday: 10.00-17.00,"Lukket 24/12, 25/12, 31/12, 1/1",Kommunal institution,12.553042,55.672452
"DRIFT, SYD",Vigerslevvej toilet.135,Vigerslevvej,346,Nej,Egen drift,toilet.135,Vigerslevvej 346,,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.495525,55.646133
"DRIFT, INDRE",Ørestads Boulevard toilet.137,Ørestads Boulevard,39,Nej,AFA,toilet.137,"Metrostation Bella Center, Ørestads Boulevard 39",2300,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.583093,55.638528
"DRIFT, SYD",Ørestads Boulevard toilet.138,Ørestads Boulevard,68,Nej,Egen drift,toilet.138,"Ørestadsparken, Ørestads Boulevard 68",2300,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Park,12.579976,55.633289
Helgoland Badeanstalt,Øresundsstien toilet.139,Øresundsstien,11,Nej,,toilet.139,Øresundsstien 11,2300,H+D,Nej,kl. 10-18,kl. 10-18,kl. 10-18,kl. 10-18,kl. 10-18,kl. 10-18,kl. 10-18,Monday: kl. 10-18 Tuesday: kl. 10-18 Wednesday: kl. 10-18 Thursday: kl. 10-18 Friday: kl. 10-18 Saturday: kl. 10-18 Sunday: kl. 10-18,Fra 23. juni til 31. august,Kommunal institution,12.640033,55.663694
"DRIFT, INDRE",Øster Allé toilet.140,Øster Allé,9,Nej,Udliciteret,toilet.140,"Øster Allé 9 z, Sansehaven",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.573372,55.69995
"DRIFT, INDRE",Øster Allé toilet.141,Øster Allé,37Z,Nej,Udliciteret,toilet.141,"Øster Allé 37 z, v. ""Dansepladsen""",,H+D+handicap+pissoir,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.565444,55.704773
Svanemøllehallen,Østerbrogade toilet.142,Østerbrogade,240,Nej,,toilet.142,Østerbrogade 240,2100,H+D+handicap,Ja,06.00 - 23.00,06.00 - 23.00,06.00 - 23.00,06.00 - 23.00,06.00 - 22.00,08.00 - 20.00,09.00 - 22.00,Monday: 06.00 - 23.00 Tuesday: 06.00 - 23.00 Wednesday: 06.00 - 23.00 Thursday: 06.00 - 23.00 Friday: 06.00 - 22.00 Saturday: 08.00 - 20.00 Sunday: 09.00 - 22.00,"lukket helligedage og i Juli. 
Lukket lørdag fra 15/5 til 15/8
Søndag 15/5-15/8 åbent kl: 09.00-16.00
Ændrede åbningstid lødag 1/5-14/5 + 16/8-31/8 kl. 10.00-17.00
søndage fra 1/5-14/5 + 16/8-31/8 åbent kl: 09.00-17.",Kommunal institution,12.578719,55.714227
CDN,Østerbrogade toilet.143,Østerbrogade,,Nej,Egen drift,toilet.143,Sporsløjfen,2100,H+D+handicap,Ja,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,Monday: døgnåbent Tuesday: døgnåbent Wednesday: døgnåbent Thursday: døgnåbent Friday: døgnåbent Saturday: døgnåbent Sunday: døgnåbent,døgnåbent,Gade,12.577939,55.714884
"DRIFT, INDRE",Ålholm Plads toilet.144,Ålholm Plads,1,Nej,AFA,toilet.144,"Ålholm Plads, Ålholm plads of. nr 1",,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.48911,55.672384
Østerbrohuset,Århusgade toilet.145,Århusgade,103,Nej,,toilet.145,Århusgade 103,2100,H+D+handicap,Ja,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-17:00,10:00-17:00,10:00-17:00,Monday: 08:00-23:00 Tuesday: 08:00-23:00 Wednesday: 08:00-23:00 Thursday: 08:00-23:00 Friday: 08:00-17:00 Saturday: 10:00-17:00 Sunday: 10:00-17:00,Lukket alle helligdage og ved arr./events samt hele juli måned.,Kommunal institution,12.587911,55.707493
"DRIFT, SYD", toilet.146,,,Nej,Udliciteret,toilet.146,Amager Strandpark - Øresundsstien / Strandstien,2300,H+D+handicap,Ja,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.638636,55.663012
"DRIFT, SYD", toilet.147,,,Nej,Udliciteret,toilet.147,Amager Strandpark - Strandpromenaden nord,2300,H+D+handicap,Ja,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.64934,55.65453
"DRIFT, SYD", toilet.148,,,Nej,Udliciteret,toilet.148,Amager Strandpark - Strandpromenaden syd,2300,H+D+handicap,Ja,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.647289,55.648422
"DRIFT, NORD", toilet.149,,,Nej,Egen drift,toilet.149,Bystævnet v Vestvolden,,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.479076,55.716927
"DRIFT, NORD", toilet.150,,,Nej,,toilet.150,Brønshøj Kirkevej / Brønshøj kirkegård,,Handicaptoilet,Ja,8.00 / 9.00 - 16.00,8.00 / 9.00 - 16.00,8.00 / 9.00 - 16.00,8.00 / 9.00 - 16.00,8.00 / 9.00 - 16.00,8.00 / 9.00 - 16.00,8.00 / 9.00 - 16.00,Monday: 8.00 / 9.00 - 16.00 Tuesday: 8.00 / 9.00 - 16.00 Wednesday: 8.00 / 9.00 - 16.00 Thursday: 8.00 / 9.00 - 16.00 Friday: 8.00 / 9.00 - 16.00 Saturday: 8.00 / 9.00 - 16.00 Sunday: 8.00 / 9.00 - 16.00,April til september 8.00-16.00 oktober til marts 9.00-16.00,Kirkegård,12.498597,55.705752
"DRIFT, SYD", toilet.151,,,Nej,Egen drift,toilet.151,Valbyparken,,H+D,?,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Andet,12.519857,55.64471
"DRIFT, NORD", toilet.152,,,Nej,Egen drift,toilet.152,Bellahøjparken (Solkrogen),,H+D+handicap,Ja,lukket,lukket,lukket,lukket,lukket,lukket,lukket,Monday: lukket Tuesday: lukket Wednesday: lukket Thursday: lukket Friday: lukket Saturday: lukket Sunday: lukket,Kun åbent ved arrangementer i parken,Park,12.509584,55.703179
, toilet.153,,9B,Nej,Egen drift,toilet.153,Kultorvet,,Danfo toiletenhed,Ja,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,Døgnåbent,Gade,12.574019,55.682303
Center for Afklaring og Beskæftigelse (CAB), toilet.154,,6,Nej,,toilet.154,Sydbanestien,2450,H+D+handicap,Ja,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.534296,55.653654
Kultur Østerbro  (Østerbro bibliotek), toilet.155,,19,Nej,,toilet.155,Dag Hammarskjolds Allé 19,2100,H+D+handicap,Ja,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,10:00-14:00,10:00-17:00,Monday: 12:00-17:00 Tuesday: 12:00-17:00 Wednesday: 12:00-17:00 Thursday: 12:00-17:00 Friday: 12:00-17:00 Saturday: 10:00-14:00 Sunday: 10:00-17:00,,Kommunal institution,12.581745,55.694573
"DRIFT, SYD", toilet.156,,,Nej,Udliciteret,toilet.156,Gunløgsgade (ved legepladsen),2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Andet,12.579486,55.664694
"DRIFT, INDRE", toilet.157,,15,Nej,Udliciteret,toilet.157,"Serridsslevsvej 15, Seridsslevvej syd",,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.572823,55.705954
"DRIFT, INDRE", toilet.158,,,Nej,Udliciteret,toilet.158,"Nyboder, Gammel Vagt",,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Gade,12.585553,55.687614
"DRIFT, INDRE", toilet.159,,,Nej,AFA,toilet.159,Axeltorv v/ Cirkusbygningen,,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.564604,55.675858
"DRIFT, INDRE", toilet.160,,,Nej,AFA,toilet.160,"Christiansborg Slotsplads, Holmensbro",,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.582154,55.676611
"DRIFT, INDRE", toilet.161,,22,Nej,AFA,toilet.161,Gammel Torv ud for nr. 22,,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.571727,55.678112
"DRIFT, SYD", toilet.162,,,Nej,Udliciteret,toilet.162,"Vestre Kirkegård sydlig del, ved Østre Kapel",,H+D,Nej,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,Monday: 7.00 - 21.00 / 9.00 - 19.00 Tuesday: 7.00 - 21.00 / 9.00 - 19.00 Wednesday: 7.00 - 21.00 / 9.00 - 19.00 Thursday: 7.00 - 21.00 / 9.00 - 19.00 Friday: 7.00 - 21.00 / 9.00 - 19.00 Saturday: 7.00 - 21.00 / 9.00 - 19.00 Sunday: 7.00 - 21.00 / 9.00 - 19.00,Muligvis lukket / under ombygning,Kirkegård,12.533564,55.654184
"DRIFT, INDRE", toilet.163,,,Nej,Udliciteret,toilet.163,Skydebanehaven,,H+D,Nej,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.554053,55.670445
"DRIFT, INDRE", toilet.164,,,Nej,,toilet.164,Enghaveparken,,H+D+handicap,Ja,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.541712,55.667912
"DRIFT, INDRE", toilet.165,,,Nej,Udliciteret,toilet.165,Ørstedsparken,,H+D,Nej,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 9.30 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.564608,55.680491
"DRIFT, INDRE", toilet.166,,,Ja,Egen drift,toilet.166,Rådhuspladsen,,Bemandet H+D+handicap,Ja,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Monday: 9.00 - 22.30 Tuesday: 9.00 - 22.30 Wednesday: 9.00 - 22.30 Thursday: 9.00 - 22.30 Friday: 9.00 - 22.30 Saturday: 9.00 - 22.30 Sunday: 9.00 - 22.30,,Gade,12.568555,55.676169
"DRIFT, INDRE", toilet.167,,,Ja,Egen drift,toilet.167,Nørreport station - Nørre Voldgade,,Bemandet H+D+handicap,Ja,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,Monday: 08.00 - 22.00 Tuesday: 08.00 - 22.00 Wednesday: 08.00 - 22.00 Thursday: 08.00 - 22.00 Friday: 08.00 - 22.00 Saturday: 08.00 - 22.00 Sunday: 08.00 - 22.00,,Gade,12.571366,55.683049
"DRIFT, SYD", toilet.168,,,Nej,Udliciteret,toilet.168,Fillipsparken,2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.618546,55.654049
"DRIFT, SYD", toilet.169,,,Nej,Udliciteret,toilet.169,Lergravsparken,2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.618609,55.662526
"DRIFT, SYD", toilet.170,,,Nej,Udliciteret,toilet.170,Bredegrund,2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.61349,55.659015
